"","year","team","forest","lasso","ridge","net"
"152",2017,"Maryland",24,27,27,27
"153",2017,"Miami FL",30,37,37,37
"154",2017,"Michigan",44,53,53,53
"155",2017,"Michigan St.",31,23,23,23
"156",2017,"Middle Tennessee",31,28,28,28
"157",2017,"Minnesota",32,32,32,32
"158",2017,"Mount St. Mary's",4,10,10,10
"159",2017,"Nevada",14,13,13,13
"160",2017,"New Mexico St.",13,14,14,14
"161",2017,"North Carolina",62,59,59,59
"162",2017,"North Dakota",4,7,7,7
"163",2017,"Northern Kentucky",10,5,5,5
"164",2017,"Northwestern",34,34,34,34
"165",2017,"Notre Dame",40,47,47,47
"166",2017,"Oklahoma St.",13,30,30,30
"167",2017,"Oregon",59,62,62,62
"168",2017,"Princeton",17,24,24,24
"169",2017,"Purdue",47,45,45,45
"170",2017,"Rhode Island",39,33,33,33
"171",2017,"Saint Mary's",54,56,56,56
"172",2017,"Seton Hall",14,15,15,15
"173",2017,"SMU",56,48,48,48
"174",2017,"South Carolina",55,40,40,40
"175",2017,"South Dakota St.",0,2,2,2
"176",2017,"Texas Southern",9,1,1,1
"177",2017,"Troy",9,4,4,4
"178",2017,"UC Davis",4,3,3,3
"179",2017,"UCLA",55,42,42,42
"180",2017,"UNC Wilmington",25,26,26,26
"181",2017,"USC",30,20,20,20
"182",2017,"Vanderbilt",25,31,31,31
"183",2017,"VCU",20,17,17,17
"184",2017,"Vermont",24,22,22,22
"185",2017,"Villanova",59,63,63,63
"186",2017,"Virginia",39,44,44,44
"187",2017,"Virginia Tech",20,25,25,25
"188",2017,"West Virginia",47,57,57,57
"189",2017,"Wichita St.",48,41,41,41
"190",2017,"Winthrop",9,8,8,8
"191",2017,"Wisconsin",47,43,43,43
"192",2017,"Xavier",37,19,19,19
"193",2018,"Alabama",31,24,24,24
"194",2018,"Arizona",31,27,27,27
"195",2018,"Arkansas",24,28,28,28
"196",2018,"Auburn",32,23,23,23
"197",2018,"Bucknell",10,4,4,4
"198",2018,"Buffalo",30,17,17,17
"199",2018,"Butler",38,46,46,46
"200",2018,"Cal St. Fullerton",3,0,0,0
"201",2018,"Cincinnati",51,56,56,56
"202",2018,"Clemson",47,47,47,47
"203",2018,"College of Charleston",6,5,5,5
"204",2018,"Creighton",30,37,37,37
"205",2018,"Davidson",18,20,20,20
"206",2018,"Duke",58,62,62,62
"207",2018,"Florida",44,52,52,52
"208",2018,"Florida St.",41,29,29,29
"209",2018,"Georgia St.",15,13,13,13
"210",2018,"Gonzaga",59,51,51,51
"211",2018,"Houston",50,48,48,48
"212",2018,"Iona",3,6,6,6
"213",2018,"Kansas",60,61,61,61
"214",2018,"Kansas St.",48,54,54,54
"215",2018,"Kentucky",43,45,45,45
"216",2018,"Lipscomb",0,3,3,3
"217",2018,"Loyola Chicago",57,44,44,44
"218",2018,"Marshall",15,11,11,11
"219",2018,"Miami FL",35,42,42,42
"220",2018,"Michigan",59,59,59,59
"221",2018,"Michigan St.",52,57,57,57
"222",2018,"Missouri",23,19,19,19
"223",2018,"Montana",9,10,10,10
"224",2018,"Murray St.",19,15,15,15
"225",2018,"Nevada",44,31,31,31
"226",2018,"New Mexico St.",34,34,34,34
"227",2018,"North Carolina",41,40,40,40
"228",2018,"North Carolina St.",22,26,26,26
"229",2018,"Ohio St.",50,53,53,53
"230",2018,"Oklahoma",14,22,22,22
"231",2018,"Penn",11,9,9,9
"232",2018,"Providence",19,21,21,21
"233",2018,"Purdue",59,55,55,55
"234",2018,"Radford",8,2,2,2
"235",2018,"Rhode Island",31,32,32,32
"236",2018,"San Diego St.",39,35,35,35
"237",2018,"Seton Hall",33,36,36,36
"238",2018,"South Dakota St.",15,16,16,16
"239",2018,"St. Bonaventure",13,14,14,14
"240",2018,"Stephen F. Austin",15,18,18,18
"241",2018,"Syracuse",45,38,38,38
"242",2018,"TCU",21,25,25,25
"243",2018,"Tennessee",49,58,58,58
"244",2018,"Texas",31,43,43,43
"245",2018,"Texas A&M",41,41,41,41
"246",2018,"Texas Southern",0,1,1,1
"247",2018,"Texas Tech",54,50,50,50
"248",2018,"UMBC",5,8,8,8
"249",2018,"UNC Greensboro",22,33,33,33
"250",2018,"Villanova",63,63,63,63
"251",2018,"Virginia",54,60,60,60
"252",2018,"Virginia Tech",26,30,30,30
"253",2018,"West Virginia",51,49,49,49
"254",2018,"Wichita St.",25,12,12,12
"255",2018,"Wright St.",7,7,7,7
"256",2018,"Xavier",41,39,39,39
"257",2019,"Abilene Christian",5,12,12,12
"258",2019,"Arizona St.",15,10,10,10
"259",2019,"Auburn",57,58,58,58
"260",2019,"Baylor",31,23,23,23
"261",2019,"Belmont",29,25,25,25
"262",2019,"Bradley",1,0,0,0
"263",2019,"Buffalo",49,48,48,48
"264",2019,"Cincinnati",43,37,37,37
"265",2019,"Colgate",16,14,14,14
"266",2019,"Duke",58,62,62,62
"267",2019,"Fairleigh Dickinson",2,3,3,3
"268",2019,"Florida",43,49,49,49
"269",2019,"Florida St.",45,41,41,41
"270",2019,"Gardner Webb",10,6,6,6
"271",2019,"Georgia St.",8,13,13,13
"272",2019,"Gonzaga",61,60,60,60
"273",2019,"Houston",54,55,55,55
"274",2019,"Iona",4,1,1,1
"275",2019,"Iowa",28,22,22,22
"276",2019,"Iowa St.",35,43,43,43
"277",2019,"Kansas",43,47,47,47
"278",2019,"Kansas St.",32,50,50,50
"279",2019,"Kentucky",55,52,52,52
"280",2019,"Liberty",28,26,26,26
"281",2019,"Louisville",28,34,34,34
"282",2019,"LSU",47,44,44,44
"283",2019,"Marquette",20,21,21,21
"284",2019,"Maryland",34,29,29,29
"285",2019,"Michigan",52,59,59,59
"286",2019,"Michigan St.",60,57,57,57
"287",2019,"Minnesota",27,19,19,19
"288",2019,"Mississippi",20,27,27,27
"289",2019,"Mississippi St.",31,38,38,38
"290",2019,"Montana",7,4,4,4
"291",2019,"Murray St.",36,31,31,31
"292",2019,"Nevada",39,28,28,28
"293",2019,"New Mexico St.",21,24,24,24
"294",2019,"North Carolina",55,53,53,53
"295",2019,"North Dakota St.",2,2,2,2
"296",2019,"Northeastern",6,7,7,7
"297",2019,"Northern Kentucky",13,9,9,9
"298",2019,"Ohio St.",22,20,20,20
"299",2019,"Oklahoma",37,35,35,35
"300",2019,"Old Dominion",16,16,16,16
"301",2019,"Oregon",46,42,42,42
"302",2019,"Purdue",57,51,51,51
"303",2019,"Saint Louis",9,5,5,5
"304",2019,"Saint Mary's",28,33,33,33
"305",2019,"Seton Hall",11,15,15,15
"306",2019,"Syracuse",27,32,32,32
"307",2019,"Tennessee",57,54,54,54
"308",2019,"Texas Tech",62,61,61,61
"309",2019,"UC Irvine",18,18,18,18
"310",2019,"UCF",48,39,39,39
"311",2019,"Utah St.",22,17,17,17
"312",2019,"VCU",44,40,40,40
"313",2019,"Vermont",4,8,8,8
"314",2019,"Villanova",31,30,30,30
"315",2019,"Virginia",63,63,63,63
"316",2019,"Virginia Tech",51,56,56,56
"317",2019,"Washington",36,36,36,36
"318",2019,"Wisconsin",34,45,45,45
"319",2019,"Wofford",45,46,46,46
"320",2019,"Yale",14,11,11,11
