year,round,reg_num,reg_name,team,seed,forest,seed_opp
2019,1,3,South,Oklahoma,9,36,1
2019,1,3,South,Oregon,12,45,4
2019,1,3,South,Purdue,3,57,6
2019,1,3,South,Tennessee,2,56,7
2019,1,3,South,Villanova,6,32,3
2019,1,3,South,Virginia,1,63,9
2019,1,2,West,Buffalo,6,48,3
2019,1,2,West,Florida,10,43,2
2019,1,2,West,Florida St.,4,46,12
2019,1,2,West,Gonzaga,1,61,8
2019,1,2,West,Michigan,2,53,10
2019,1,2,West,Murray St.,12,35,4
2019,1,2,West,Syracuse,8,26,1
2019,1,2,West,Texas Tech,3,61,6
