"","year","round","reg_num","reg_name","team","seed","forest"
"135",2019,1,2,"West","Gonzaga","1",61
"136",2019,1,4,"Midwest","Houston","3",55
"137",2019,1,4,"Midwest","Iowa St.","6",34
"138",2019,1,4,"Midwest","Kansas","4",44
"139",2019,1,3,"South","Kansas St.","4",41
"140",2019,1,4,"Midwest","Kentucky","2",57
"141",2019,1,1,"East","Liberty","12",32
"142",2019,1,1,"East","Louisville","7",34
"143",2019,1,1,"East","LSU","3",48
"144",2019,1,1,"East","Maryland","6",33
"145",2019,1,2,"West","Michigan","2",53
"146",2019,1,1,"East","Michigan St.","2",61
"147",2019,1,2,"West","Murray St.","12",35
"148",2019,1,4,"Midwest","North Carolina","1",54
"149",2019,1,3,"South","Oklahoma","9",36
"150",2019,1,3,"South","Oregon","12",45
"151",2019,1,3,"South","Purdue","3",57
"152",2019,1,2,"West","Syracuse","8",26
"153",2019,1,3,"South","Tennessee","2",56
"154",2019,1,2,"West","Texas Tech","3",61
"155",2019,1,1,"East","UCF","9",46
"156",2019,1,3,"South","Villanova","6",32
"157",2019,1,3,"South","Virginia","1",63
"158",2019,1,1,"East","Virginia Tech","4",54
"159",2019,1,4,"Midwest","Washington","9",28
"160",2019,1,4,"Midwest","Wofford","7",34
