year,team,forest,lasso,ridge,net
2017,Virginia Tech,16,25,25,25
2017,West Virginia,50,57,57,57
2017,Wichita St.,48,41,41,41
2017,Winthrop,12,8,8,8
2017,Wisconsin,47,43,43,43
2017,Xavier,37,19,19,19
2018,Alabama,32,24,24,24
2018,Arizona,27,27,27,27
2018,Arkansas,20,28,28,28
2018,Auburn,30,23,23,23
2018,Bucknell,10,4,4,4
2018,Buffalo,30,17,17,17
2018,Butler,40,46,46,46
2018,Cal St. Fullerton,5,0,0,0
2018,Cincinnati,54,56,56,56
2018,Clemson,48,47,47,47
2018,College of Charleston,7,5,5,5
2018,Creighton,32,37,37,37
2018,Davidson,13,20,20,20
2018,Duke,59,62,62,62
2018,Florida,41,52,52,52
2018,Florida St.,44,29,29,29
2018,Georgia St.,17,13,13,13
2018,Gonzaga,59,51,51,51
2018,Houston,51,48,48,48
2018,Iona,6,6,6,6
2018,Kansas,60,61,61,61
2018,Kansas St.,47,54,54,54
2018,Kentucky,42,45,45,45
2018,Lipscomb,6,3,3,3
2018,Loyola Chicago,55,44,44,44
2018,Marshall,15,11,11,11
2018,Miami FL,36,42,42,42
2018,Michigan,58,59,59,59
2018,Michigan St.,52,57,57,57
2018,Missouri,24,19,19,19
2018,Montana,11,10,10,10
2018,Murray St.,24,15,15,15
2018,Nevada,45,31,31,31
2018,New Mexico St.,33,34,34,34
2018,North Carolina,38,40,40,40
2018,North Carolina St.,18,26,26,26
2018,Ohio St.,52,53,53,53
2018,Oklahoma,14,22,22,22
2018,Penn,16,9,9,9
2018,Providence,18,21,21,21
2018,Purdue,58,55,55,55
2018,Radford,6,2,2,2
2018,Rhode Island,29,32,32,32
2018,San Diego St.,42,35,35,35
2018,Seton Hall,32,36,36,36
2018,South Dakota St.,21,16,16,16
2018,St. Bonaventure,18,14,14,14
2018,Stephen F. Austin,17,18,18,18
2018,Syracuse,48,38,38,38
2018,TCU,21,25,25,25
2018,Tennessee,51,58,58,58
2018,Texas,37,43,43,43
2018,Texas A&M,45,41,41,41
2018,Texas Southern,6,1,1,1
2018,Texas Tech,55,50,50,50
2018,UMBC,9,8,8,8
2018,UNC Greensboro,21,33,33,33
2018,Villanova,63,63,63,63
2018,Virginia,52,60,60,60
2018,Virginia Tech,26,30,30,30
2018,West Virginia,49,49,49,49
2018,Wichita St.,16,12,12,12
2018,Wright St.,15,7,7,7
2018,Xavier,36,39,39,39
2019,Abilene Christian,12,12,12,12
2019,Arizona St.,16,10,10,10
2019,Auburn,56,58,58,58
2019,Baylor,25,23,23,23
2019,Belmont,29,25,25,25
2019,Bradley,6,0,0,0
2019,Buffalo,48,48,48,48
2019,Cincinnati,39,37,37,37
2019,Colgate,12,14,14,14
2019,Duke,59,62,62,62
2019,Fairleigh Dickinson,2,3,3,3
2019,Florida,43,49,49,49
2019,Florida St.,46,41,41,41
2019,Gardner Webb,12,6,6,6
2019,Georgia St.,8,13,13,13
2019,Gonzaga,61,60,60,60
2019,Houston,55,55,55,55
2019,Iona,4,1,1,1
2019,Iowa,26,22,22,22
2019,Iowa St.,34,43,43,43
2019,Kansas,44,47,47,47
2019,Kansas St.,41,50,50,50
2019,Kentucky,57,52,52,52
2019,Liberty,32,26,26,26
2019,Louisville,34,34,34,34
2019,LSU,48,44,44,44
2019,Marquette,19,21,21,21
2019,Maryland,33,29,29,29
2019,Michigan,53,59,59,59
2019,Michigan St.,61,57,57,57
2019,Minnesota,33,19,19,19
2019,Mississippi,22,27,27,27
2019,Mississippi St.,29,38,38,38
2019,Montana,9,4,4,4
2019,Murray St.,35,31,31,31
2019,Nevada,35,28,28,28
2019,New Mexico St.,24,24,24,24
2019,North Carolina,54,53,53,53
2019,North Dakota St.,4,2,2,2
2019,Northeastern,6,7,7,7
2019,Northern Kentucky,14,9,9,9
2019,Ohio St.,24,20,20,20
2019,Oklahoma,36,35,35,35
2019,Old Dominion,20,16,16,16
2019,Oregon,45,42,42,42
2019,Purdue,57,51,51,51
2019,Saint Louis,12,5,5,5
2019,Saint Mary's,32,33,33,33
2019,Seton Hall,16,15,15,15
2019,Syracuse,26,32,32,32
2019,Tennessee,56,54,54,54
2019,Texas Tech,61,61,61,61
2019,UC Irvine,24,18,18,18
2019,UCF,46,39,39,39
2019,Utah St.,23,17,17,17
2019,VCU,37,40,40,40
2019,Vermont,11,8,8,8
2019,Villanova,32,30,30,30
2019,Virginia,63,63,63,63
2019,Virginia Tech,54,56,56,56
2019,Washington,28,36,36,36
2019,Wisconsin,33,45,45,45
2019,Wofford,34,46,46,46
2019,Yale,16,11,11,11
