"","region","team","seed","team_opp","seed_opp","forest","lasso","ridge","net","forest_opp","lasso_opp","ridge_opp","net_opp","win_pred"
"1","East","Dayton","1","Ohio St.",5,63,60,60,60,53,46,46,46,"1"
"2","East","Duke","2","Michigan St.",3,59,61,61,61,56,59,59,59,"1"
"3","Midwest","Baylor","1","Maryland",4,60,63,63,63,40,34,34,34,"1"
"4","Midwest","Villanova","2","Xavier",11,53,55,55,55,41,35,35,35,"1"
"5","South","Creighton","3","Florida St.",2,56,56,56,56,51,59,59,59,"1"
"6","South","Kansas","1","West Virginia",5,59,62,62,62,50,41,41,41,"1"
"7","West","Gonzaga","1","Louisville",4,62,54,54,54,55,48,48,48,"1"
"8","West","San Diego St.","2","Seton Hall",3,61,59,59,59,47,49,49,49,"1"
