"","year","reg_num","reg_name","team","seed","forest"
"1",2015,4,"South","Duke","1",63
"2",2015,2,"West","Wisconsin","1",61
"3",2016,3,"East","North Carolina","1",61
"4",2016,1,"South","Villanova","2",63
"5",2017,1,"East","Villanova","1",61
"6",2017,4,"South","North Carolina","1",63
"7",2018,3,"East","Villanova","1",63
"8",2018,2,"West","Gonzaga","4",59
"9",2019,3,"South","Virginia","1",63
"10",2019,2,"West","Texas Tech","3",61
