TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Saint Louis,A10,2015,NA,NA,31,10,0.322580645,94.1,102.8,0.2642,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32,35.7,63.4,-12.8,0.2,0.122,0.492,0.217,0.174,0.209,0.1,0.808,0.154,0.64,0.82,0.118,0.197,0.229,0.222,0.318,0.254,0.245
St. Bonaventure,A10,2015,NA,NA,31,18,0.580645161,102.4,98.5,0.6081,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,65,-5.4,0.671,0.517,0.695,0.645,0.271,0.598,0.543,0.617,0.871,0.217,0.594,0.678,0.425,0.772,0.165,0.249,0.505,0.642
Boston College,ACC,2015,NA,NA,32,13,0.40625,108.6,99.2,0.74,50.8,49.4,18.8,18.8,26,30.9,35,40.8,52.1,49,32.4,33.5,63.9,-5.8,0.325,0.817,0.675,0.774,0.745,0.475,0.569,0.457,0.094,0.451,0.345,0.303,0.9,0.398,0.285,0.635,0.328,0.617
Clemson,ACC,2015,NA,NA,31,16,0.516129032,104.2,92.7,0.7942,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,62.2,-3,0.537,0.62,0.932,0.828,0.151,0.886,0.623,0.257,0.78,0.52,0.297,0.866,0.34,0.889,0.065,0.746,0.134,0.76
Florida St.,ACC,2015,NA,NA,33,17,0.515151515,104.1,96.2,0.7105,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66.6,-3.3,0.525,0.605,0.815,0.754,0.682,0.732,0.083,0.311,0.597,0.608,0.971,0.423,0.862,0.658,0.151,0.783,0.742,0.748
Georgia Tech,ACC,2015,NA,NA,31,12,0.387096774,102.1,92.9,0.7463,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,64.2,-6.1,0.271,0.497,0.923,0.78,0.062,0.518,0.409,0.311,0.974,0.037,0.094,0.695,0.302,0.283,0.005,0.835,0.411,0.605
Miami FL,ACC,2015,NA,NA,38,25,0.657894737,111.2,96,0.8446,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,47.4,47.1,35.8,32.4,62.9,0.7,0.814,0.891,0.823,0.885,0.654,0.718,0.949,0.214,0.334,0.26,0.38,0.946,0.465,0.609,0.714,0.795,0.214,0.882
Pittsburgh,ACC,2015,NA,NA,33,18,0.545454545,113.2,101.7,0.7749,49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,48.6,49,33.6,34.9,60.9,-1.5,0.588,0.922,0.56,0.802,0.511,0.398,0.966,0.228,0.797,0.568,0.325,0.438,0.628,0.398,0.431,0.423,0.051,0.814
Syracuse,ACC,2015,NA,NA,31,18,0.580645161,106.1,90.8,0.8565,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,48.3,45.9,30,31.4,66.4,-0.3,0.671,0.734,0.966,0.9,0.294,0.823,0.74,0.837,0.72,0.502,0.368,0.906,0.585,0.72,0.077,0.889,0.722,0.857
Virginia Tech,ACC,2015,NA,NA,33,11,0.333333333,105.5,104.8,0.5204,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,64.2,-8.9,0.208,0.705,0.386,0.56,0.785,0.318,0.715,0.48,0.094,0.971,0.14,0.695,0.514,0.32,0.934,0.403,0.411,0.465
