TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Illinois St.,MVC,2016,NA,NA,31,17,0.548387097,103.3,98,0.646,47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,46.2,48.7,33.3,31.9,68.3,-5.5,0.588,0.502,0.82,0.677,0.237,0.735,0.432,0.871,0.542,0.282,0.094,0.423,0.231,0.538,0.311,0.892,0.391,0.645
Indiana St.,MVC,2016,NA,NA,31,14,0.451612903,97.3,99.3,0.4422,44.7,47.2,18.6,17.8,27.3,25.8,41.5,43.9,44.7,46.5,29.9,32.4,71.2,-8.9,0.414,0.165,0.735,0.465,0.037,0.846,0.4,0.44,0.282,0.082,0.822,0.112,0.082,0.772,0.042,0.843,0.78,0.48
Loyola Chicago,MVC,2016,NA,NA,31,14,0.451612903,100.3,100.2,0.5024,48.3,49.6,18.9,22.2,22.5,30.6,32.5,36.4,45.9,48.2,35.3,34.9,65.7,-9.3,0.414,0.342,0.68,0.537,0.3,0.566,0.34,0.968,0.037,0.611,0.208,0.543,0.205,0.606,0.591,0.486,0.077,0.457
Missouri St.,MVC,2016,NA,NA,31,12,0.387096774,100.1,104.8,0.3708,46.1,51.5,18.6,17.6,28,28.1,39.3,34.1,45.3,49.1,32,37.2,69.8,-10.6,0.305,0.325,0.452,0.38,0.122,0.286,0.4,0.405,0.328,0.26,0.702,0.692,0.145,0.469,0.174,0.149,0.631,0.388
Southern Illinois,MVC,2016,NA,NA,32,22,0.6875,105,102.5,0.5679,51.1,50.9,19.4,21.3,31.7,25.6,39.3,44.9,51,52.6,34.3,31.8,70.5,-3.3,0.828,0.56,0.566,0.605,0.642,0.389,0.266,0.942,0.694,0.068,0.702,0.083,0.762,0.118,0.465,0.895,0.72,0.731
Air Force,MWC,2016,NA,NA,30,12,0.4,98.1,105.4,0.306,48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47,51.3,33.4,34.9,67.9,-10.9,0.328,0.202,0.418,0.285,0.274,0.246,0.366,0.74,0.08,0.26,0.722,0.495,0.305,0.232,0.328,0.486,0.328,0.368
Boise St.,MWC,2016,NA,NA,30,18,0.6,108.2,99.7,0.719,51.7,52,16.4,20.2,27.2,25.5,40.9,36.8,53.7,50.9,32.6,36,70.3,-3.6,0.691,0.717,0.715,0.748,0.734,0.22,0.823,0.837,0.271,0.057,0.791,0.515,0.937,0.269,0.245,0.283,0.694,0.72
Colorado St.,MWC,2016,NA,NA,32,16,0.5,111.3,109.1,0.5567,49.9,52.1,16.3,14.1,33,25.1,42.3,35.1,46.5,51.4,36.2,35.4,68.9,-8.5,0.491,0.834,0.223,0.597,0.508,0.192,0.846,0.011,0.82,0.04,0.885,0.64,0.265,0.22,0.697,0.403,0.497,0.5
Nevada,MWC,2016,NA,NA,36,22,0.611111111,100.8,97.7,0.5864,45.5,46.1,17.6,17.3,30.7,30.3,43.2,39.6,46.3,44.9,29.1,32.3,72.2,-5.1,0.714,0.38,0.832,0.628,0.088,0.929,0.623,0.345,0.605,0.571,0.911,0.323,0.242,0.883,0.025,0.855,0.854,0.657
New Mexico,MWC,2016,NA,NA,32,17,0.53125,108.2,101.3,0.6809,52,48.5,21,17,30.5,28.6,43.9,37.1,51,48.4,36.3,32.5,71.8,-6.8,0.545,0.717,0.629,0.697,0.785,0.715,0.08,0.282,0.588,0.331,0.948,0.5,0.762,0.58,0.714,0.832,0.842,0.568
San Diego St.,MWC,2016,NA,NA,36,26,0.722222222,104,90.3,0.8366,47.2,42.5,18.4,18,33.9,27.2,42.5,31.3,46.3,41.6,32.6,29.4,65.9,0.1,0.874,0.531,0.995,0.874,0.185,1,0.443,0.471,0.862,0.174,0.888,0.829,0.242,0.992,0.245,0.998,0.097,0.857
San Jose St.,MWC,2016,NA,NA,28,6,0.214285714,96.3,102.4,0.329,46.8,49.6,19.2,17.2,27.1,29.7,38.5,47.5,48.2,47.9,29.8,35.4,70.6,-15.4,0.045,0.125,0.578,0.328,0.162,0.566,0.298,0.32,0.26,0.477,0.668,0.035,0.431,0.64,0.04,0.403,0.731,0.151
UNLV,MWC,2016,NA,NA,31,16,0.516129032,103.2,98,0.644,49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,50.1,46.1,32.8,32.7,73.6,-6.3,0.525,0.5,0.82,0.674,0.474,0.858,0.34,0.757,0.365,0.611,0.791,0.289,0.677,0.815,0.277,0.806,0.951,0.594
Utah St.,MWC,2016,NA,NA,29,14,0.482758621,110.3,106.1,0.6086,52.2,51.1,17.5,16.5,29.2,28.7,33.6,33.2,49.2,50.1,37.9,35.2,67.7,-7.4,0.465,0.802,0.392,0.654,0.808,0.352,0.643,0.211,0.462,0.34,0.262,0.743,0.571,0.346,0.885,0.44,0.297,0.542
Wyoming,MWC,2016,NA,NA,30,12,0.4,108.3,108,0.5092,53.4,50.1,17,15.8,18.1,30.4,45.9,39.1,50.8,48.4,37.2,35.4,65.6,-10.6,0.328,0.725,0.272,0.551,0.88,0.48,0.723,0.114,0.002,0.58,0.985,0.346,0.751,0.58,0.84,0.403,0.074,0.388
Bryant,NEC,2016,NA,NA,30,7,0.233333333,93.3,113.1,0.098,47.3,51.5,19.9,16,26.2,33.5,26.9,31.6,46.9,53.1,32,32.7,68.2,-17.7,0.082,0.074,0.078,0.025,0.197,0.286,0.192,0.148,0.194,0.894,0.011,0.82,0.291,0.078,0.174,0.806,0.365,0.057
Central Connecticut,NEC,2016,NA,NA,29,4,0.137931034,92.5,118,0.057,44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,42.3,53.2,34.2,35.9,68.4,-21.9,0.017,0.057,0.003,0.005,0.04,0.092,0.192,0.045,0.537,0.554,0.114,0.849,0.017,0.072,0.457,0.315,0.405,0
LIU Brooklyn,NEC,2016,NA,NA,31,16,0.516129032,100.2,111.3,0.23,47.9,50.9,18.4,19.7,32.2,31.1,41.4,38,49.5,48.8,29.7,37,73,-12.5,0.525,0.337,0.138,0.2,0.26,0.389,0.443,0.785,0.748,0.685,0.817,0.449,0.611,0.515,0.037,0.175,0.928,0.288
Mount St. Mary's,NEC,2016,NA,NA,33,14,0.424242424,92.1,100.9,0.2579,45.8,50.2,17.2,24.6,25.3,33.7,30.6,40.4,44.8,50.1,31.7,33.7,69.8,-13.9,0.368,0.048,0.646,0.228,0.102,0.466,0.695,0.994,0.142,0.902,0.085,0.263,0.094,0.346,0.14,0.678,0.631,0.214
Robert Morris,NEC,2016,NA,NA,32,10,0.3125,90.4,104.9,0.1545,46.6,49.4,20.4,22,26.1,34.7,35.5,32.9,49.6,48.9,27.6,33.5,69.1,-17.3,0.205,0.031,0.449,0.097,0.134,0.612,0.135,0.965,0.191,0.948,0.42,0.758,0.631,0.503,0.005,0.698,0.534,0.071
Sacred Heart,NEC,2016,NA,NA,30,12,0.4,98,112.1,0.1772,48.4,51.1,20.2,18,33.4,32.4,38.7,39.4,49.2,49.6,31.1,35.9,72.2,-13.8,0.328,0.197,0.106,0.137,0.311,0.352,0.158,0.471,0.84,0.84,0.682,0.332,0.571,0.403,0.111,0.315,0.854,0.222
St. Francis NY,NEC,2016,NA,NA,31,14,0.451612903,92.3,104.9,0.1859,45.9,46.6,20.4,18.6,32.2,30.2,36.1,34.9,46.2,45.6,30.3,33.1,66.4,-13.7,0.414,0.054,0.449,0.148,0.117,0.903,0.135,0.594,0.748,0.554,0.454,0.652,0.231,0.849,0.062,0.76,0.145,0.228
St. Francis PA,NEC,2016,NA,NA,29,12,0.413793103,99.6,113.2,0.1867,48.3,50.8,18.5,16.4,31.5,30.8,38.5,29.9,45.3,52.3,35.8,32.1,67,-13.5,0.345,0.291,0.069,0.151,0.3,0.412,0.432,0.194,0.677,0.651,0.668,0.88,0.145,0.135,0.648,0.878,0.217,0.237
Wagner,NEC,2016,NA,NA,33,22,0.666666667,99.6,101.4,0.449,47.6,46.8,19.6,20.7,36.9,27.5,32.6,44.3,46.4,45.6,33.6,32.7,66.7,-7,0.8,0.291,0.623,0.477,0.228,0.875,0.229,0.891,0.948,0.197,0.211,0.103,0.26,0.849,0.354,0.806,0.174,0.557
Belmont,OVC,2016,NA,NA,31,19,0.612903226,113.4,109.2,0.6073,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,62.6,49.5,36.4,35.4,72.7,-4.9,0.72,0.897,0.215,0.651,0.997,0.412,0.28,0.211,0.208,0.662,0.34,0.5,1,0.423,0.748,0.403,0.9,0.668
Eastern Illinois,OVC,2016,NA,NA,28,11,0.392857143,99.3,108.5,0.2665,49.9,51.4,18,19.5,26.8,34.7,34.4,40.5,48.8,52,34.4,33.5,67.8,-12.3,0.322,0.268,0.243,0.242,0.508,0.306,0.526,0.757,0.24,0.948,0.325,0.258,0.514,0.16,0.48,0.698,0.308,0.294
Eastern Kentucky,OVC,2016,NA,NA,30,14,0.466666667,105.7,109.2,0.4067,56,53.1,20.3,20.3,27,34.2,40.3,42.3,54.2,51.3,39.5,37.6,73.2,-10.5,0.431,0.608,0.215,0.428,0.977,0.12,0.146,0.851,0.251,0.92,0.754,0.172,0.948,0.232,0.965,0.1,0.934,0.397
Jacksonville St.,OVC,2016,NA,NA,29,7,0.24137931,96.9,108.7,0.2098,46.6,52,16.3,18.6,27,34.1,30.9,42.6,43.2,53,34.5,33.3,66,-18,0.097,0.157,0.24,0.18,0.134,0.22,0.846,0.594,0.251,0.914,0.094,0.155,0.031,0.086,0.5,0.729,0.105,0.048
Morehead St.,OVC,2016,NA,NA,35,21,0.6,105,103.2,0.5514,48,50.6,18.6,21.4,38.6,29,35.3,53.7,45.8,49,36.2,35.7,66.3,-6.4,0.691,0.56,0.529,0.588,0.274,0.435,0.4,0.945,0.982,0.365,0.4,0.009,0.2,0.486,0.697,0.338,0.128,0.588
Murray St.,OVC,2016,NA,NA,29,15,0.517241379,106.8,105.1,0.5455,51.6,52.2,17.8,19.2,28.7,26.2,34.1,40.8,50.1,51.1,36.1,36.1,65.3,-9,0.54,0.665,0.438,0.58,0.722,0.18,0.572,0.711,0.414,0.111,0.305,0.246,0.677,0.249,0.682,0.275,0.051,0.471
SIU Edwardsville,OVC,2016,NA,NA,28,6,0.214285714,94.6,108.3,0.1733,44.8,51.8,19.7,17.6,32.4,29.3,36.9,43.9,44.4,50,30.4,37.2,67.3,-16.7,0.045,0.091,0.258,0.131,0.04,0.246,0.215,0.405,0.768,0.402,0.508,0.112,0.071,0.363,0.071,0.149,0.254,0.088
Southeast Missouri St.,OVC,2016,NA,NA,27,3,0.111111111,91,108.9,0.1126,44.1,54,19.8,18.5,28.5,29.6,35.7,31.9,44.6,55.3,28.8,34.7,71.9,-19.2,0.008,0.037,0.229,0.042,0.025,0.06,0.198,0.568,0.391,0.46,0.434,0.803,0.08,0.012,0.022,0.523,0.845,0.028
Tennessee Martin,OVC,2016,NA,NA,33,18,0.545454545,103.3,108.7,0.3569,50.5,50.8,18.2,17,29.5,29.4,35.6,30,49.8,50.8,34.4,33.8,67.5,-9,0.574,0.502,0.24,0.36,0.591,0.412,0.483,0.282,0.488,0.42,0.425,0.878,0.64,0.275,0.48,0.649,0.274,0.471
Tennessee St.,OVC,2016,NA,NA,29,18,0.620689655,99.8,100,0.4932,50.4,49.5,19.2,21.6,31.4,29,41.5,42.7,50,45.4,34.1,36.8,68.8,-6,0.734,0.311,0.689,0.522,0.585,0.6,0.298,0.957,0.665,0.365,0.822,0.149,0.668,0.866,0.422,0.198,0.482,0.62
Tennessee Tech,OVC,2016,NA,NA,29,17,0.586206897,106.6,111.2,0.3807,52.4,50.6,17.8,16,27.6,31.9,44,32.8,51.3,48.5,35.9,36.4,70.1,-6,0.668,0.651,0.14,0.4,0.834,0.435,0.572,0.148,0.294,0.782,0.954,0.766,0.8,0.56,0.66,0.249,0.674,0.62
Arizona St.,P12,2016,NA,NA,32,15,0.46875,108.3,100,0.7131,48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,46.6,51.4,33.6,35.4,68.9,-4.2,0.451,0.725,0.689,0.728,0.288,0.22,0.718,0.537,0.677,0.228,0.597,0.438,0.277,0.22,0.354,0.403,0.497,0.694
Stanford,P12,2016,NA,NA,29,14,0.482758621,106.7,99.9,0.68,47.5,52,17.5,19.8,30.8,32.1,45.3,39.9,47.4,49.9,31.8,36.9,66.7,-2.6,0.465,0.662,0.698,0.694,0.211,0.22,0.643,0.794,0.622,0.811,0.974,0.295,0.354,0.378,0.151,0.189,0.174,0.742
UCLA,P12,2016,NA,NA,32,15,0.46875,111.6,99.7,0.7843,50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,48.8,47.6,36.3,35.4,70.4,-3.9,0.451,0.842,0.715,0.811,0.571,0.54,0.746,0.165,0.805,0.58,0.191,0.698,0.514,0.675,0.714,0.403,0.705,0.708
Washington,P12,2016,NA,NA,34,19,0.558823529,110.1,98.1,0.7905,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,47.3,47.2,33.1,33.1,78.2,-2.2,0.6,0.794,0.809,0.822,0.288,0.786,0.669,0.871,0.84,0.962,0.808,0.092,0.348,0.715,0.294,0.76,0.997,0.748
Washington St.,P12,2016,NA,NA,30,8,0.266666667,101.1,104,0.4185,50.7,49.9,19.7,14.7,23.9,29.6,31.1,37.5,50.3,48.2,34.6,35.9,69.7,-10.4,0.134,0.397,0.495,0.445,0.614,0.509,0.215,0.042,0.071,0.46,0.114,0.478,0.702,0.606,0.508,0.315,0.622,0.405
American,Pat,2016,NA,NA,31,12,0.387096774,91.4,106.8,0.1433,49,51.6,22.1,19.2,23.5,30.2,31.7,40.1,47.7,53.7,34.1,31.1,62.2,-14.1,0.305,0.042,0.349,0.082,0.374,0.272,0.02,0.711,0.062,0.554,0.148,0.289,0.38,0.052,0.422,0.946,0.005,0.191
Army,Pat,2016,NA,NA,32,18,0.5625,98.6,105.2,0.3222,49.7,49.4,18.5,16.4,31,26.8,31.7,32,49.3,48.2,33.4,34.9,73.3,-9.3,0.614,0.228,0.432,0.317,0.474,0.612,0.432,0.194,0.637,0.148,0.148,0.792,0.585,0.606,0.328,0.486,0.942,0.457
Boston University,Pat,2016,NA,NA,33,18,0.545454545,101.7,107.4,0.3486,52.2,50,19.6,17.1,26.5,28.1,37,33.9,51,50,36.1,33.3,70.6,-10,0.574,0.431,0.309,0.354,0.808,0.498,0.229,0.302,0.211,0.26,0.522,0.698,0.762,0.363,0.682,0.729,0.731,0.425
Bucknell,Pat,2016,NA,NA,30,16,0.533333333,104.1,105.3,0.4695,52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,51.2,47.6,35.8,35.2,72.2,-9.1,0.562,0.534,0.423,0.497,0.802,0.6,0.375,0.462,0.511,0.3,0.948,0.218,0.794,0.675,0.648,0.44,0.854,0.468
Colgate,Pat,2016,NA,NA,29,12,0.413793103,102.5,111.9,0.2685,52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,50.3,51.4,37,37.5,65.7,-12.3,0.345,0.468,0.112,0.245,0.84,0.115,0.443,0.74,0.222,0.611,0.062,0.189,0.702,0.22,0.825,0.106,0.077,0.294
Lafayette,Pat,2016,NA,NA,30,6,0.2,99,114.4,0.1606,50.5,52.9,18.2,16.7,22.3,32.9,31.6,35.1,47.9,52.5,36.5,35.7,70.5,-19.4,0.034,0.248,0.04,0.114,0.591,0.146,0.483,0.237,0.028,0.862,0.145,0.64,0.405,0.126,0.765,0.338,0.72,0.022
Lehigh,Pat,2016,NA,NA,31,16,0.516129032,104.1,105,0.4747,52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,48.5,48.8,39.3,36.4,68.8,-9.6,0.525,0.534,0.44,0.505,0.802,0.352,0.28,0.594,0.448,0.402,0.148,0.906,0.474,0.515,0.96,0.249,0.482,0.442
Loyola MD,Pat,2016,NA,NA,30,9,0.3,100.7,111.1,0.2433,47.7,52,18.9,17,31.4,30.6,38.4,40.9,48.7,50.2,30.4,37.2,68,-16.2,0.191,0.362,0.143,0.217,0.237,0.22,0.34,0.282,0.665,0.611,0.651,0.238,0.5,0.335,0.071,0.149,0.337,0.105
Navy,Pat,2016,NA,NA,32,18,0.5625,98.8,102.2,0.4044,49.5,48.9,19.9,20.3,32.6,27.2,42.8,39.4,50.8,45.9,30.5,35.4,65.7,-10,0.614,0.237,0.589,0.422,0.457,0.68,0.192,0.851,0.791,0.174,0.902,0.332,0.751,0.823,0.085,0.403,0.077,0.425
Appalachian St.,SB,2016,NA,NA,31,9,0.290322581,100.8,110.6,0.2554,47.2,51.2,21,15.9,33,32.3,39.1,39.8,43.1,48.8,35.6,38.6,71.3,-15.2,0.18,0.38,0.172,0.222,0.185,0.332,0.08,0.128,0.82,0.822,0.694,0.3,0.028,0.515,0.622,0.049,0.794,0.16
Arkansas St.,SB,2016,NA,NA,29,9,0.310344828,99.1,107.4,0.2826,45.8,47.1,18,14.9,28,31.2,40.1,38,45.1,43.5,31.5,35.6,73.3,-13.9,0.2,0.251,0.309,0.265,0.102,0.858,0.526,0.051,0.328,0.697,0.745,0.449,0.131,0.946,0.122,0.36,0.942,0.214
Georgia Southern,SB,2016,NA,NA,29,12,0.413793103,103.9,108,0.3913,47.5,51.8,16.2,20,29.7,34.5,37.7,44.5,45.6,52.5,33.3,33.8,69.5,-11.4,0.345,0.522,0.272,0.408,0.211,0.246,0.863,0.82,0.511,0.931,0.585,0.098,0.174,0.126,0.311,0.649,0.591,0.34
Georgia St.,SB,2016,NA,NA,28,14,0.5,99.7,99.8,0.4947,48.5,47.9,18,21.2,24.5,31,37.5,41.3,47.1,47,34.8,32.8,65.4,-8.6,0.491,0.308,0.706,0.528,0.32,0.786,0.526,0.94,0.088,0.671,0.568,0.218,0.322,0.738,0.534,0.783,0.06,0.497
Louisiana Lafayette,SB,2016,NA,NA,32,17,0.53125,108.9,105.2,0.6003,48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,49.9,47,31.1,37.8,71.3,-7.5,0.545,0.742,0.432,0.645,0.351,0.509,0.643,0.211,0.971,0.131,0.871,0.615,0.657,0.738,0.111,0.092,0.794,0.54
Louisiana Monroe,SB,2016,NA,NA,32,18,0.5625,106.9,102.2,0.6266,50.6,47.5,18.2,17,31.5,31.6,32.2,33,50,46.6,34.5,32.7,66.6,-6.3,0.614,0.671,0.589,0.665,0.605,0.818,0.483,0.282,0.677,0.754,0.182,0.752,0.668,0.763,0.5,0.806,0.16,0.594
South Alabama,SB,2016,NA,NA,31,12,0.387096774,95.1,103.1,0.2814,46.1,48.4,20.6,18,30.5,32.5,38.3,38.7,45.1,48.4,31.9,32.2,70.6,-12.6,0.305,0.102,0.535,0.26,0.122,0.735,0.106,0.471,0.588,0.842,0.64,0.378,0.131,0.58,0.16,0.86,0.731,0.28
Texas St.,SB,2016,NA,NA,29,13,0.448275862,98.5,102.9,0.3769,46.6,49.6,17.8,20.8,29.8,30.6,37.7,35.6,46,47.9,32.1,35.1,64.2,-11.1,0.411,0.225,0.549,0.391,0.134,0.566,0.572,0.9,0.525,0.611,0.585,0.609,0.214,0.64,0.185,0.452,0.028,0.357
Troy,SB,2016,NA,NA,29,8,0.275862069,97.8,106.6,0.2705,45.7,51.1,16.7,17.8,29.4,31.5,37.2,35.8,44.8,49.5,31.5,36,69.4,-15.3,0.157,0.185,0.36,0.248,0.094,0.352,0.778,0.44,0.477,0.742,0.54,0.589,0.094,0.423,0.122,0.283,0.577,0.154
UT Arlington,SB,2016,NA,NA,34,23,0.676470588,106.1,98.7,0.6962,49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,49.5,44.4,32.5,33.7,73.2,-3.9,0.817,0.631,0.778,0.708,0.402,0.86,0.375,0.825,0.937,0.111,0.325,0.126,0.611,0.926,0.228,0.678,0.934,0.708
East Tennessee St.,SC,2016,NA,NA,34,22,0.647058824,105.4,106.5,0.4713,53,50.5,18.1,17.8,28.3,30.6,34.9,39.8,50.4,50.1,38.3,34.1,70.2,-5.1,0.782,0.574,0.366,0.5,0.868,0.446,0.5,0.44,0.365,0.611,0.365,0.3,0.711,0.346,0.925,0.603,0.685,0.657
Furman,SC,2016,NA,NA,33,17,0.515151515,103,106.3,0.4094,51.5,50.8,20.5,19.2,32.1,28.8,43.3,38,54.2,49.9,31.9,35,65.9,-10.1,0.517,0.488,0.375,0.434,0.705,0.412,0.12,0.711,0.728,0.345,0.925,0.449,0.948,0.378,0.16,0.463,0.097,0.42
Mercer,SC,2016,NA,NA,32,16,0.5,104.3,107.3,0.4198,49.4,49.3,18.9,16.6,36.1,27.8,31.7,33.5,47.9,45.4,35.2,36.1,64.3,-10.5,0.491,0.54,0.32,0.448,0.437,0.626,0.34,0.228,0.934,0.228,0.148,0.726,0.405,0.866,0.574,0.275,0.031,0.397
Samford,SC,2016,NA,NA,31,11,0.35483871,101.1,108.1,0.3177,50.1,51.4,19.6,20.9,29.4,32.5,44.7,42.9,51,48.9,31.9,37,68.9,-14.8,0.265,0.397,0.266,0.305,0.542,0.306,0.229,0.914,0.477,0.842,0.965,0.143,0.762,0.503,0.16,0.175,0.497,0.168
The Citadel,SC,2016,NA,NA,29,7,0.24137931,100.9,117.3,0.1504,48.8,57.6,16.9,19.3,26.7,35.8,31.1,44.4,50.1,59.8,31.7,35.2,81.9,-17.8,0.097,0.388,0.018,0.088,0.351,0.006,0.746,0.734,0.228,0.971,0.114,0.1,0.677,0,0.14,0.44,1,0.051
UNC Greensboro,SC,2016,NA,NA,31,12,0.387096774,101.4,106.3,0.368,51.3,51.9,17.7,17.4,27.1,27.5,28,38.5,49.1,49,36.3,37.4,68.3,-12.7,0.305,0.417,0.375,0.377,0.68,0.229,0.606,0.362,0.26,0.197,0.025,0.409,0.554,0.486,0.714,0.132,0.391,0.271
VMI,SC,2016,NA,NA,27,6,0.222222222,96,110.8,0.1606,47.1,53,18.5,18.7,26.3,34,27,41.4,45.7,51.2,32.5,37.4,69.3,-16.1,0.06,0.12,0.16,0.114,0.177,0.129,0.432,0.617,0.202,0.911,0.014,0.206,0.188,0.235,0.228,0.132,0.557,0.114
Western Carolina,SC,2016,NA,NA,31,13,0.419354839,99.2,104.2,0.3609,48.8,51,20,20.8,30.4,32.7,38.2,45,48.3,49.6,33,35.6,70,-10.4,0.362,0.257,0.483,0.362,0.351,0.369,0.172,0.9,0.568,0.857,0.631,0.08,0.44,0.403,0.288,0.36,0.66,0.405
Wofford,SC,2016,NA,NA,30,13,0.433333333,104.9,107.5,0.4303,51.7,54,18,17.6,26.2,25.9,38.4,41.5,45.8,54.3,40.9,35.5,66.2,-10.4,0.385,0.557,0.298,0.457,0.734,0.06,0.526,0.405,0.194,0.091,0.651,0.195,0.2,0.032,0.98,0.372,0.117,0.405
Alabama,SEC,2016,NA,NA,33,18,0.545454545,105.4,96.3,0.7387,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,65.7,-0.6,0.574,0.574,0.889,0.774,0.465,0.903,0.192,0.508,0.365,0.94,0.78,0.346,0.474,0.878,0.391,0.775,0.077,0.825
Arkansas,SEC,2016,NA,NA,32,16,0.5,109.5,99,0.7602,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71,-4.6,0.491,0.762,0.76,0.797,0.474,0.526,0.952,0.771,0.628,0.542,0.577,0.143,0.222,0.66,0.968,0.315,0.76,0.68
Auburn,SEC,2016,NA,NA,31,11,0.35483871,100.4,102.4,0.4438,47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,44.3,49.6,34,34.8,72.5,-8.3,0.265,0.348,0.578,0.468,0.197,0.446,0.34,0.44,0.311,0.822,0.8,0.289,0.068,0.403,0.414,0.5,0.885,0.514
Florida,SEC,2016,NA,NA,36,21,0.583333333,110,93.2,0.8703,48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69.9,0.1,0.662,0.788,0.966,0.905,0.32,0.886,0.883,0.594,0.817,0.442,0.714,0.603,0.531,0.926,0.16,0.58,0.651,0.857
Georgia,SEC,2016,NA,NA,34,20,0.588235294,108,96.4,0.7881,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,67.9,-0.8,0.671,0.7,0.88,0.82,0.288,0.949,0.298,0.091,0.768,0.494,0.934,0.223,0.094,0.969,0.808,0.76,0.328,0.814
LSU,SEC,2016,NA,NA,33,19,0.575757576,111.8,100.5,0.7743,51.1,51.8,16.2,18.8,29.8,29.9,43,33.4,52,51.3,32.7,35,72.9,-1.8,0.637,0.848,0.672,0.808,0.642,0.246,0.863,0.628,0.525,0.514,0.905,0.738,0.848,0.232,0.26,0.463,0.917,0.762
Mississippi,SEC,2016,NA,NA,32,20,0.625,111,100.6,0.7556,48.1,49.7,17.1,20.1,34.6,31.1,41.3,40.7,46.5,47.4,33.8,35.5,69.4,-1.4,0.745,0.828,0.666,0.788,0.288,0.54,0.718,0.825,0.888,0.685,0.811,0.249,0.265,0.695,0.38,0.372,0.577,0.774
Mississippi St.,SEC,2016,NA,NA,31,14,0.451612903,108.7,99.1,0.7448,51.7,48.9,18,18.5,29.7,32.9,29.5,36.3,52.6,47.5,33.4,34.3,70.2,-6.2,0.414,0.734,0.758,0.78,0.734,0.68,0.526,0.568,0.511,0.862,0.051,0.549,0.888,0.692,0.328,0.58,0.685,0.608
Missouri,SEC,2016,NA,NA,31,10,0.322580645,102.9,102.6,0.5088,47.2,49,18,16,26.8,29.8,39.6,40.8,47.6,48,31,33.6,68.9,-9.5,0.217,0.477,0.56,0.545,0.185,0.669,0.526,0.148,0.24,0.494,0.722,0.246,0.371,0.632,0.105,0.68,0.497,0.445
South Carolina,SEC,2016,NA,NA,33,24,0.727272727,108.1,95.3,0.809,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,46.6,42.9,35.4,35.8,71.2,1.8,0.88,0.705,0.918,0.837,0.32,0.826,0.34,0.871,0.962,0.442,0.911,0.432,0.277,0.958,0.597,0.32,0.78,0.9
Tennessee,SEC,2016,NA,NA,34,15,0.441176471,110.5,102,0.7154,48,48.5,15.8,17.3,32.1,34.5,34.1,37.3,47.4,47.1,32.7,34.2,70,-5.8,0.405,0.817,0.612,0.737,0.274,0.715,0.915,0.345,0.728,0.931,0.305,0.489,0.354,0.729,0.26,0.595,0.66,0.631
Abilene Christian,Slnd,2016,NA,NA,27,9,0.333333333,96.3,111.8,0.1529,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,-14.4,0.228,0.125,0.12,0.094,0.591,0.035,0.298,0.711,0.088,0.214,0.754,0.058,0.46,0.035,0.714,0.189,0.405,0.185
Central Arkansas,Slnd,2016,NA,NA,28,7,0.25,99.8,117.8,0.1291,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,72.9,-16,0.111,0.311,0.009,0.06,0.508,0.069,0.215,0.114,0.654,0.494,0.862,0.378,0.354,0.203,0.84,0.04,0.917,0.12
