TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Villanova,BE,2015,R32,1,36,33,0.916666667,121.9,91.1,0.9663,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53,45.3,38.9,30.5,64.7,11.3,0.968,0.952,0.826,0.936,0.873,0.715,0.81,0.888,0.428,0.682,0.777,0.731,0.761,0.445,0.888,0.921,0.492,0.968
UAB,CUSA,2015,R32,14,35,19,0.542857143,102.7,100.1,0.5721,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,65.3,-7.5,0.015,0.111,0.191,0.126,0.063,0.381,0.143,0.587,0.571,0.904,0.238,0.445,0.126,0.223,0.158,0.699,0.587,0.031
Northern Iowa,MVC,2015,R32,5,35,31,0.885714286,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,5.3,0.904,0.777,0.683,0.746,0.936,0.667,0.493,0.523,0.063,0.111,0.65,0.889,0.809,0.62,0.936,0.667,0.015,0.793
San Diego St.,MWC,2015,R32,8,35,26,0.742857143,103.1,87.5,0.8691,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,45.9,42.3,32,30.6,61.2,1.3,0.698,0.126,0.937,0.571,0.031,0.937,0.35,0.793,0.809,0.428,0.317,0.921,0.063,0.889,0.063,0.905,0.079,0.476
Oregon,P12,2015,R32,8,35,25,0.714285714,114.3,99.1,0.8379,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,3,0.555,0.73,0.223,0.365,0.682,0.286,0.699,0.111,0.269,0.746,0.015,0.286,0.603,0.286,0.65,0.477,0.761,0.587
Georgia St.,SB,2015,R32,14,34,24,0.705882353,109.5,98,0.7802,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3,0.539,0.38,0.318,0.285,0.634,0.62,0.81,0.952,0.222,0.968,0.492,0.096,0.841,0.778,0.079,0.493,0.238,0.19
Arkansas,SEC,2015,R32,5,36,27,0.75,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,0.714,0.65,0.397,0.587,0.38,0.239,0.699,0.936,0.809,0.936,0.444,0.143,0.412,0.381,0.349,0.159,0.968,0.714
Davidson,A10,2015,R64,10,31,23,0.741935484,118.3,102.2,0.8435,55.4,49.3,14.1,17,29.6,30.4,28.5,34.6,53.1,51.4,38.7,30,67.2,1.7,0.682,0.873,0.143,0.412,0.888,0.175,0.985,0.174,0.206,0.492,0,0.366,0.793,0.032,0.857,0.969,0.793,0.523
VCU,A10,2015,R64,7,36,26,0.722222222,108.4,94,0.8373,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,46.9,48.3,34.3,34.5,67.2,3,0.619,0.301,0.556,0.349,0.174,0.127,0.937,0.968,0.349,0.539,0.444,0.191,0.158,0.175,0.269,0.254,0.793,0.587
Albany,AE,2015,R64,14,33,24,0.727272727,104.9,102.2,0.5749,49.9,49.6,18.8,20.1,32.6,26,39,30.4,47.9,46.2,35.8,36.2,61.3,-3.3,0.634,0.174,0.143,0.142,0.365,0.112,0.318,0.682,0.444,0.095,0.619,0.731,0.285,0.381,0.492,0.096,0.111,0.174
SMU,Amer,2015,R64,6,33,26,0.787878788,111.1,94.6,0.8635,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,3.1,0.777,0.539,0.493,0.523,0.65,0.635,0.207,0.746,0.873,0.365,0.857,0.651,0.682,0.794,0.587,0.556,0.269,0.634
