TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Mississippi,SEC,2019,R64,8,33,20,0.606060606,113.3,97.9,0.8433,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,69.7,2.8,0.158,0.65,0.318,0.444,0.507,0.096,0.286,0.809,0.476,0.698,0.269,0.302,0.571,0.413,0.492,0,0.698,0.682
Mississippi St.,SEC,2019,R64,5,34,23,0.676470588,116.9,96.8,0.898,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,69,0.4,0.285,0.809,0.413,0.666,0.746,0.175,0.127,0.698,0.873,0.777,0.412,0.413,0.682,0.366,0.777,0.048,0.619,0.333
Abilene Christian,Slnd,2019,R64,15,30,27,0.9,100.9,100.7,0.5064,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,-1.8,0.92,0.015,0.175,0.063,0.333,0.239,0.572,0.952,0.19,0.634,0.555,0.016,0.111,0.175,0.777,0.508,0.317,0.206
North Dakota St.,Sum,2019,R64,16,33,19,0.575757576,106.6,109,0.4369,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37,66.5,0.6,0.047,0.174,0.016,0.031,0.555,0,0.905,0.015,0,0.285,0.365,0.874,0.492,0.032,0.682,0.016,0.206,0.349
New Mexico St.,WAC,2019,R64,12,33,30,0.909090909,111.8,98.2,0.8155,54.1,48.9,17.8,19.1,37,22.5,34.6,32.5,56.7,48,34,33.5,67.1,-10.9,0.952,0.539,0.286,0.349,0.698,0.397,0.397,0.571,0.968,0.031,0.619,0.381,0.952,0.429,0.19,0.429,0.317,0
Saint Mary's,WCC,2019,R64,11,34,22,0.647058824,113.1,96.3,0.8637,53.8,48.9,16.2,16.3,31.2,23,29.1,29.1,52.3,49.2,37.8,32.1,64.1,1.3,0.222,0.634,0.477,0.523,0.666,0.397,0.81,0.095,0.603,0.063,0.126,0.604,0.523,0.254,0.825,0.683,0.031,0.412
Florida St.,ACC,2019,S16,4,37,29,0.783783784,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,70,3.9,0.603,0.507,0.842,0.777,0.19,0.683,0.143,0.761,0.777,0.492,0.761,0.143,0.285,0.731,0.095,0.429,0.73,0.73
North Carolina,ACC,2019,S16,1,36,29,0.805555556,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76,-0.4,0.682,0.92,0.81,0.904,0.444,0.397,0.635,0.396,0.888,0.047,0.238,0.651,0.492,0.461,0.571,0.429,1,0.301
Virginia Tech,ACC,2019,S16,4,35,26,0.742857143,117.8,93.4,0.9357,55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49,39.4,32.7,65.1,7.6,0.507,0.841,0.667,0.809,0.873,0.334,0.572,0.873,0.412,0.555,0.349,0.905,0.603,0.286,0.936,0.604,0.111,0.92
Houston,Amer,2019,S16,3,37,33,0.891891892,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,67.3,4.6,0.888,0.761,0.858,0.841,0.365,1,0.762,0.333,0.841,0.333,0.317,0.048,0.349,0.937,0.46,1,0.38,0.793
Michigan,B10,2019,S16,2,37,30,0.810810811,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,2.5,0.698,0.682,0.985,0.952,0.317,0.937,1,0.269,0.079,0.111,0.031,0.953,0.444,0.842,0.238,0.921,0.158,0.619
Oregon,P12,2019,S16,12,38,25,0.657894737,108.1,91.7,0.8687,52,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29,65.4,4.3,0.269,0.285,0.778,0.539,0.349,0.778,0.397,0.825,0.412,0.666,0.158,0.254,0.396,0.302,0.396,0.937,0.142,0.746
LSU,SEC,2019,S16,3,35,28,0.8,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,1.9,0.65,0.857,0.445,0.714,0.253,0.223,0.318,0.73,0.936,0.888,0.857,0.318,0.603,0.207,0.063,0.35,0.841,0.523
Tennessee,SEC,2019,S16,2,36,31,0.861111111,122.8,95.2,0.9488,55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,4.9,0.841,0.952,0.572,0.857,0.857,0.556,0.889,0.269,0.65,0.825,0.492,0.191,0.841,0.81,0.682,0.08,0.587,0.825
Duquesne,A10,2015,NA,NA,30,11,0.366666667,107,111.7,0.379,51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,49.5,47.7,36.2,38.5,67.6,-11.3,,,,,,,,,,,,,,,,,,
Fordham,A10,2015,NA,NA,30,9,0.3,101,103,0.445,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,65.9,-12.3,,,,,,,,,,,,,,,,,,
George Mason,A10,2015,NA,NA,30,8,0.266666667,101.2,103.8,0.4276,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,65,-12.6,,,,,,,,,,,,,,,,,,
George Washington,A10,2015,NA,NA,35,22,0.628571429,107.2,96.2,0.7755,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,47.3,44.9,35.2,31.9,62.7,-2.3,,,,,,,,,,,,,,,,,,
La Salle,A10,2015,NA,NA,33,17,0.515151515,98.9,92.9,0.6734,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,64.8,-6.3,,,,,,,,,,,,,,,,,,
Massachusetts,A10,2015,NA,NA,32,17,0.53125,104.5,100.7,0.6047,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,48.4,47.1,29.6,35,67.8,-4.9,,,,,,,,,,,,,,,,,,
Rhode Island,A10,2015,NA,NA,32,22,0.6875,102.1,91,0.79,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,50.1,45,30.5,27.3,65.9,-1.1,,,,,,,,,,,,,,,,,,
Richmond,A10,2015,NA,NA,35,21,0.6,106.7,94.6,0.7997,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34,30.3,62.2,-3.5,,,,,,,,,,,,,,,,,,
Saint Joseph's,A10,2015,NA,NA,31,13,0.419354839,98.2,97.3,0.5254,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,64,-9.6,,,,,,,,,,,,,,,,,,
Saint Louis,A10,2015,NA,NA,31,10,0.322580645,94.1,102.8,0.2642,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32,35.7,63.4,-12.8,,,,,,,,,,,,,,,,,,
St. Bonaventure,A10,2015,NA,NA,31,18,0.580645161,102.4,98.5,0.6081,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,65,-5.4,,,,,,,,,,,,,,,,,,
Boston College,ACC,2015,NA,NA,32,13,0.40625,108.6,99.2,0.74,50.8,49.4,18.8,18.8,26,30.9,35,40.8,52.1,49,32.4,33.5,63.9,-5.8,,,,,,,,,,,,,,,,,,
Clemson,ACC,2015,NA,NA,31,16,0.516129032,104.2,92.7,0.7942,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,62.2,-3,,,,,,,,,,,,,,,,,,
Florida St.,ACC,2015,NA,NA,33,17,0.515151515,104.1,96.2,0.7105,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66.6,-3.3,,,,,,,,,,,,,,,,,,
Georgia Tech,ACC,2015,NA,NA,31,12,0.387096774,102.1,92.9,0.7463,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,64.2,-6.1,,,,,,,,,,,,,,,,,,
Miami FL,ACC,2015,NA,NA,38,25,0.657894737,111.2,96,0.8446,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,47.4,47.1,35.8,32.4,62.9,0.7,,,,,,,,,,,,,,,,,,
Pittsburgh,ACC,2015,NA,NA,33,18,0.545454545,113.2,101.7,0.7749,49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,48.6,49,33.6,34.9,60.9,-1.5,,,,,,,,,,,,,,,,,,
Syracuse,ACC,2015,NA,NA,31,18,0.580645161,106.1,90.8,0.8565,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,48.3,45.9,30,31.4,66.4,-0.3,,,,,,,,,,,,,,,,,,
Virginia Tech,ACC,2015,NA,NA,33,11,0.333333333,105.5,104.8,0.5204,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,64.2,-8.9,,,,,,,,,,,,,,,,,,
Wake Forest,ACC,2015,NA,NA,32,13,0.40625,104.8,98.1,0.6826,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.7,-5.7,,,,,,,,,,,,,,,,,,
Binghamton,AE,2015,NA,NA,30,5,0.166666667,91.4,109.2,0.1151,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,63.6,-19.3,,,,,,,,,,,,,,,,,,
Hartford,AE,2015,NA,NA,29,13,0.448275862,95.2,105.4,0.2371,47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,46,52,32.5,31.6,63.8,-11.2,,,,,,,,,,,,,,,,,,
Maine,AE,2015,NA,NA,30,3,0.1,92.3,113.3,0.0863,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,66.6,-20.9,,,,,,,,,,,,,,,,,,
New Hampshire,AE,2015,NA,NA,30,17,0.566666667,98.4,101,0.4249,49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,45.9,45.6,37.4,31.1,64.2,-8.1,,,,,,,,,,,,,,,,,,
Stony Brook,AE,2015,NA,NA,33,21,0.636363636,99.9,98.1,0.5521,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,64.5,-4.8,,,,,,,,,,,,,,,,,,
UMass Lowell,AE,2015,NA,NA,28,11,0.392857143,91.6,107.2,0.1412,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,44.6,54.1,34.9,35.8,64.1,-11.8,,,,,,,,,,,,,,,,,,
UMBC,AE,2015,NA,NA,30,4,0.133333333,87,108.6,0.0727,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,65.1,-20.7,,,,,,,,,,,,,,,,,,
Vermont,AE,2015,NA,NA,33,19,0.575757576,100.7,97.6,0.5879,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,64.7,-9,,,,,,,,,,,,,,,,,,
Connecticut,Amer,2015,NA,NA,35,20,0.571428571,105.3,97.4,0.7109,50,45.2,18.6,17.9,30.2,30.5,32.3,32.6,48.4,42.8,35.4,33.2,62.5,-3.3,,,,,,,,,,,,,,,,,,
East Carolina,Amer,2015,NA,NA,31,12,0.387096774,102.2,106.1,0.393,48.4,50.9,18,19.2,28.2,34.7,29.9,34.1,45.2,53,35.6,31.6,61.9,-10.8,,,,,,,,,,,,,,,,,,
Houston,Amer,2015,NA,NA,32,13,0.40625,100.9,102.3,0.4593,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,45.2,48.4,32,33.7,64.6,-11.6,,,,,,,,,,,,,,,,,,
Memphis,Amer,2015,NA,NA,32,18,0.5625,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,,,,,,,,,,,,,,,,,,
South Florida,Amer,2015,NA,NA,31,8,0.258064516,97.2,105.4,0.2812,47.3,49.1,20.9,18.8,31.3,34.8,31.6,42.5,47.7,45.4,30.9,37.4,64.4,-14.5,,,,,,,,,,,,,,,,,,
Temple,Amer,2015,NA,NA,37,26,0.702702703,104.3,92.3,0.8029,44.2,44.5,14.6,18.8,31.8,29.2,35.6,33.5,43.4,43.3,30.4,31.4,65.9,-0.4,,,,,,,,,,,,,,,,,,
Tulane,Amer,2015,NA,NA,30,14,0.466666667,97.6,101.8,0.3809,46.4,49.9,19.9,20.3,32.6,29.3,34.7,36.1,45.5,49.6,32,33.7,63.7,-8.9,,,,,,,,,,,,,,,,,,
Tulsa,Amer,2015,NA,NA,33,23,0.696969697,100.6,92.9,0.716,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,46.5,42.8,32.3,33.3,64.3,-0.4,,,,,,,,,,,,,,,,,,
UCF,Amer,2015,NA,NA,29,11,0.379310345,101,109.4,0.2852,49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,47.6,50.3,34.5,35.6,64.6,-11.2,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,ASun,2015,NA,NA,30,19,0.633333333,99.4,102,0.4261,48.2,45.3,17.7,17.3,34.4,32.1,33.1,34.6,47,45.8,33.9,29.6,64.8,-5.1,,,,,,,,,,,,,,,,,,
Jacksonville,ASun,2015,NA,NA,29,7,0.24137931,95.6,114.9,0.1067,46.6,54.5,18.6,19.1,27.7,33.8,39.3,38.8,43.1,54.1,35.8,36.8,64,-17.6,,,,,,,,,,,,,,,,,,
Kennesaw St.,ASun,2015,NA,NA,30,8,0.266666667,91.3,113.1,0.0782,45.3,50.7,21.3,16.2,29.6,35.1,29.8,35.7,44.1,51.1,31.5,33.4,66.1,-16.8,,,,,,,,,,,,,,,,,,
Lipscomb,ASun,2015,NA,NA,28,11,0.392857143,98,110.6,0.1987,48.1,54.1,18.7,17.8,29.2,29.4,39.7,47,47.5,51.8,32.6,38.3,68.2,-12,,,,,,,,,,,,,,,,,,
Northern Kentucky,ASun,2015,NA,NA,28,11,0.392857143,102.4,108.7,0.3348,51.2,50.6,17.8,16.6,28.5,30,30,45.3,51.9,49.2,33.4,35.5,64.1,-12.1,,,,,,,,,,,,,,,,,,
Stetson,ASun,2015,NA,NA,28,6,0.214285714,93.9,114.3,0.0942,48.1,51.6,18.3,16.4,26.1,35.1,34.1,31.5,48.3,49.1,31.8,37.1,66.3,-17.8,,,,,,,,,,,,,,,,,,
USC Upstate,ASun,2015,NA,NA,32,20,0.625,102,103.1,0.4677,49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,49.2,46.6,33.2,31.9,63.6,-6.8,,,,,,,,,,,,,,,,,,
Illinois,B10,2015,NA,NA,33,19,0.575757576,107.1,94.4,0.8103,47.6,48,15.2,19.7,30.2,28,31.2,30.4,44.4,47.3,35.5,32.9,65.6,-0.6,,,,,,,,,,,,,,,,,,
Michigan,B10,2015,NA,NA,31,15,0.483870968,110.9,97.1,0.8226,49.4,50.9,15.6,19.4,25.5,31.2,26.6,26.7,47,50.8,35.3,34,60.2,-2.4,,,,,,,,,,,,,,,,,,
Minnesota,B10,2015,NA,NA,32,17,0.53125,111.2,97.6,0.8176,52.1,50.8,17.7,24.2,30,33.4,32.9,34.5,50.1,48.3,37.2,36.8,68.1,-2.4,,,,,,,,,,,,,,,,,,
Nebraska,B10,2015,NA,NA,31,13,0.419354839,98.5,93.2,0.6543,46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,48,44.7,28.4,33.4,63.7,-5.3,,,,,,,,,,,,,,,,,,
Northwestern,B10,2015,NA,NA,32,15,0.46875,105.7,100.8,0.6322,50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,48.3,43.8,35.9,37.7,60.6,-4.2,,,,,,,,,,,,,,,,,,
Penn St.,B10,2015,NA,NA,34,18,0.529411765,103.9,93.9,0.7617,48,45.3,18.2,17.8,29.7,31,34.7,41.5,46.8,43.6,33.4,32.6,65.9,-3.6,,,,,,,,,,,,,,,,,,
Rutgers,B10,2015,NA,NA,32,10,0.3125,96.4,98,0.4539,43.6,49.8,20.1,18.1,30.5,31.4,32.6,32,43.3,49.3,29.5,33.7,65.4,-8.7,,,,,,,,,,,,,,,,,,
Kansas St.,B12,2015,NA,NA,32,15,0.46875,104.6,96.2,0.7242,47.8,49.7,20.9,20.2,34,31.4,46,41,46.9,49.5,33.5,33.5,62.7,-2.6,,,,,,,,,,,,,,,,,,
TCU,B12,2015,NA,NA,33,18,0.545454545,107.6,94.2,0.821,47.9,44.1,18.4,20,37.5,33.4,46.5,48,47.5,42.2,32.7,33.5,64.1,-2.6,,,,,,,,,,,,,,,,,,
Texas Tech,B12,2015,NA,NA,32,13,0.40625,101.4,98.4,0.5857,45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,44.5,48.2,32.3,33.9,62.4,-6.2,,,,,,,,,,,,,,,,,,
Creighton,BE,2015,NA,NA,33,14,0.424242424,109.6,99.8,0.745,49.4,50.5,18.4,17.1,31.3,28.1,36.3,33.4,47.6,46.9,34.6,38,63.1,-5.8,,,,,,,,,,,,,,,,,,
DePaul,BE,2015,NA,NA,32,12,0.375,107.5,103.8,0.5972,50.7,50.8,19.8,18.8,27.4,35.5,36.5,48.7,49.2,52.7,35.2,31.2,67.7,-7.4,,,,,,,,,,,,,,,,,,
Marquette,BE,2015,NA,NA,32,13,0.40625,104,95.6,0.7237,49.8,49.2,19.3,21,29,36.4,35.8,30.3,48.8,46.4,34.4,36,64.3,-4.7,,,,,,,,,,,,,,,,,,
Seton Hall,BE,2015,NA,NA,31,16,0.516129032,107.7,98.6,0.7353,48.2,47.7,18.7,18,34.7,33.2,38.1,38,46,49,35,30,66.2,-2.3,,,,,,,,,,,,,,,,,,
Idaho,BSky,2015,NA,NA,28,11,0.392857143,104.7,110.8,0.3432,53.4,53.6,17.5,15.4,30.7,27,38.6,41.5,49.2,53,41,36.3,67.9,-13,,,,,,,,,,,,,,,,,,
Idaho St.,BSky,2015,NA,NA,28,5,0.178571429,96.2,109.9,0.1767,48.1,52,18.7,18.7,29.9,32.2,37,34.8,46.6,49.3,34.9,37,63.9,-19.2,,,,,,,,,,,,,,,,,,
Montana,BSky,2015,NA,NA,31,18,0.580645161,104.5,104.2,0.5063,53.7,51.3,18,19.9,27.6,28.7,33.3,43.6,52.9,49.4,36.6,36.1,62.5,-7.1,,,,,,,,,,,,,,,,,,
Montana St.,BSky,2015,NA,NA,29,6,0.206896552,94.7,107.8,0.1838,46.9,53,20.6,17,29.1,28.2,28.7,44.8,42.4,50.4,35.6,39.4,66.2,-17.9,,,,,,,,,,,,,,,,,,
North Dakota,BSky,2015,NA,NA,28,6,0.214285714,96.1,109,0.1904,48.4,53.2,17.9,18.1,24.7,29,38.5,42.3,47.8,51.2,33.1,38.6,68,-16.2,,,,,,,,,,,,,,,,,,
Northern Arizona,BSky,2015,NA,NA,37,22,0.594594595,100.1,101.7,0.4547,46.1,48.6,17.7,16.7,35.3,26.8,36.4,38.4,42.9,49.1,34.8,31.7,65.2,-8.6,,,,,,,,,,,,,,,,,,
Northern Colorado,BSky,2015,NA,NA,28,13,0.464285714,107.5,115.6,0.3007,53,55.7,16.2,20,33.6,34.3,35.1,40.4,51.4,52.9,37.5,40.2,63.5,-10.8,,,,,,,,,,,,,,,,,,
Portland St.,BSky,2015,NA,NA,27,13,0.481481481,100.9,107.9,0.3144,48.7,52.7,16.4,17.5,27.6,32.1,37.2,31.4,45.5,50.2,37.3,38.5,66.2,-9.9,,,,,,,,,,,,,,,,,,
Sacramento St.,BSky,2015,NA,NA,31,19,0.612903226,105.9,110.9,0.3714,53.9,53.8,16.6,19.6,27.2,33.3,35.5,32.3,50.9,54.7,40.8,34.8,62.7,-6.8,,,,,,,,,,,,,,,,,,
Southern Utah,BSky,2015,NA,NA,28,9,0.321428571,96.8,109.4,0.1963,52.3,51.5,20.1,15.7,22.6,29.3,38.7,50.6,48.4,49.6,39.7,37.2,68,-14.8,,,,,,,,,,,,,,,,,,
Weber St.,BSky,2015,NA,NA,28,11,0.392857143,98.1,105.2,0.3086,48,50.8,20.5,16.6,28.8,30.2,46,31.5,45,49.6,34.9,35.9,63.2,-11.9,,,,,,,,,,,,,,,,,,
Campbell,BSth,2015,NA,NA,29,7,0.24137931,96,107.8,0.2088,49.8,52.5,20.1,19,27.5,30.8,35.9,42.4,46.5,52.7,36,34.7,61.8,-17.5,,,,,,,,,,,,,,,,,,
Charleston Southern,BSth,2015,NA,NA,28,16,0.571428571,103.9,107.4,0.4061,48.5,52.4,17.2,18.9,33.4,28.5,34.9,32.4,46.7,50.5,33.7,36.7,65.7,-6.2,,,,,,,,,,,,,,,,,,
Gardner Webb,BSth,2015,NA,NA,31,16,0.516129032,105.2,109.8,0.3783,51,53.4,17.4,17.1,29.8,31.8,37.7,29.1,50.4,51.9,34.6,37.8,68,-7.7,,,,,,,,,,,,,,,,,,
High Point,BSth,2015,NA,NA,30,20,0.666666667,104.5,104.9,0.4898,51.9,51.3,17.5,19.8,30.6,31.5,34.1,31.5,49.3,49.8,38.6,35.8,62.8,-3.9,,,,,,,,,,,,,,,,,,
Liberty,BSth,2015,NA,NA,28,4,0.142857143,89.8,109.4,0.0938,46,50.2,24.5,18.1,30.6,32.5,40.2,41.8,45.8,48,31,35.6,66.2,-20.5,,,,,,,,,,,,,,,,,,
Longwood,BSth,2015,NA,NA,32,9,0.28125,95.5,108.7,0.1834,49,52.6,20.7,20.8,26.9,35.2,30,45,44.9,50.5,36.9,37.5,67,-18.1,,,,,,,,,,,,,,,,,,
Presbyterian,BSth,2015,NA,NA,28,6,0.214285714,94.8,111.4,0.1351,48.4,54,20.9,15.9,27.3,33.6,33.3,28.7,48.8,50.6,31.7,38.9,62.4,-17.1,,,,,,,,,,,,,,,,,,
Radford,BSth,2015,NA,NA,31,19,0.612903226,102.7,104.3,0.4552,50,48.4,18.1,18.8,34.5,32.7,35.4,36.3,50.5,47.8,32.6,33.4,65.3,-6.3,,,,,,,,,,,,,,,,,,
UNC Asheville,BSth,2015,NA,NA,28,12,0.428571429,100.3,107.4,0.3131,49.9,49.7,20.8,18.3,31.6,32.2,35.4,43.3,48.2,49,35.2,33.9,68.4,-11.6,,,,,,,,,,,,,,,,,,
Winthrop,BSth,2015,NA,NA,29,16,0.551724138,103.1,103.8,0.4796,50.8,47,17.7,19,29.4,32.3,35.9,38.4,49.2,45.9,35.5,32.7,66.2,-8.9,,,,,,,,,,,,,,,,,,
Cal Poly,BW,2015,NA,NA,27,11,0.407407407,101.5,100,0.5427,44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,42.5,47.3,31.6,35.6,59.2,-9,,,,,,,,,,,,,,,,,,
Cal St. Fullerton,BW,2015,NA,NA,29,7,0.24137931,97.1,107,0.2464,45.7,51.3,19.2,16.6,28.5,27.1,36.7,41,44.9,48.1,31.8,38.7,66.4,-15.9,,,,,,,,,,,,,,,,,,
Cal St. Northridge,BW,2015,NA,NA,31,7,0.225806452,99,107.2,0.2858,45.3,51,19.5,16.6,28.4,30.5,41.1,35.9,44.3,48.5,33,36.6,65.8,-15.8,,,,,,,,,,,,,,,,,,
Hawaii,BW,2015,NA,NA,33,20,0.606060606,104.2,98.1,0.6685,49.3,47.6,18.7,23.4,32.2,34.4,36.7,42,49.3,45.2,32.8,34.8,69.6,-6.2,,,,,,,,,,,,,,,,,,
Long Beach St.,BW,2015,NA,NA,31,14,0.451612903,101.4,98.3,0.5883,47.6,49.2,20.2,21,31.5,34,34.4,36.9,46.3,49,33.2,33,65.7,-5.6,,,,,,,,,,,,,,,,,,
UC Davis,BW,2015,NA,NA,30,23,0.766666667,109.9,104.9,0.6306,57.3,48.4,20.9,17.9,28.6,33.7,39.3,33.3,51.7,46.5,44.1,34.6,63.1,-1,,,,,,,,,,,,,,,,,,
UC Riverside,BW,2015,NA,NA,29,12,0.413793103,96.1,100.2,0.3824,46.7,49,20.2,18.7,30.7,28.7,33.7,42.5,45.1,44.6,33,39.7,65.7,-10.1,,,,,,,,,,,,,,,,,,
UC Santa Barbara,BW,2015,NA,NA,31,17,0.548387097,108.1,101.3,0.6785,49.6,47.8,16.9,17.9,30.7,29.8,32,39.9,46.6,45.2,37,35.4,62.9,-5.2,,,,,,,,,,,,,,,,,,
College of Charleston,CAA,2015,NA,NA,33,9,0.272727273,93.7,102.7,0.2577,46,48.1,19.3,18.4,27.5,32.2,32.4,47.4,43.2,45.4,34.3,35.8,61.6,-17.1,,,,,,,,,,,,,,,,,,
Delaware,CAA,2015,NA,NA,30,10,0.333333333,99.1,107.3,0.2855,47.1,50,18.4,15.6,28.8,31.5,38.1,33.2,44.5,46.7,34.5,37,65.8,-14,,,,,,,,,,,,,,,,,,
Drexel,CAA,2015,NA,NA,29,11,0.379310345,98.2,104.1,0.3396,45,50.1,17,18.5,27.5,31.2,33.1,35.7,42.6,49,33,35.1,61.2,-12.5,,,,,,,,,,,,,,,,,,
Elon,CAA,2015,NA,NA,31,13,0.419354839,96.2,105.2,0.2641,47.5,51.3,19,21.2,27.9,31.9,37.6,44.1,45.1,50.6,34.5,35,68.5,-12.6,,,,,,,,,,,,,,,,,,
Hofstra,CAA,2015,NA,NA,34,20,0.588235294,108.7,104.6,0.6094,52.3,49.5,16,19.6,32.7,28.4,39.8,38.7,50.9,48.8,36.2,33.9,69.4,-8.3,,,,,,,,,,,,,,,,,,
James Madison,CAA,2015,NA,NA,33,19,0.575757576,103.1,107.6,0.3805,51.9,50.2,20.3,17.9,29,31.9,42.2,31.9,49.7,48.2,37.2,35.7,64.7,-7.2,,,,,,,,,,,,,,,,,,
Towson,CAA,2015,NA,NA,31,11,0.35483871,98.8,107,0.2842,44.6,47.6,21.5,14.9,41.1,29.5,48.3,45,44.4,45.7,30.1,34.2,60.9,-14.5,,,,,,,,,,,,,,,,,,
UNC Wilmington,CAA,2015,NA,NA,31,17,0.548387097,100.5,99.7,0.5208,47.5,47.9,18,20.4,31,32.4,37.5,47.4,46.3,46.9,34,33.5,67.9,-6.8,,,,,,,,,,,,,,,,,,
William & Mary,CAA,2015,NA,NA,31,18,0.580645161,111.2,106.9,0.6105,56.3,50.5,17.5,17.6,24.2,29.9,35.5,31.9,54.8,49.1,38.9,35.3,64.4,-5.5,,,,,,,,,,,,,,,,,,
Charlotte,CUSA,2015,NA,NA,32,14,0.4375,106.2,106.4,0.4954,51.7,50.6,19.6,18.4,33.7,31.3,36.9,33.1,49.8,48.3,37.6,36.5,67.4,-10.2,,,,,,,,,,,,,,,,,,
FIU,CUSA,2015,NA,NA,31,14,0.451612903,94,102.6,0.2669,48.2,48,22.6,19.2,29,31.9,37.4,36.6,48.6,46.4,31.3,33.7,65.1,-11.5,,,,,,,,,,,,,,,,,,
Florida Atlantic,CUSA,2015,NA,NA,27,7,0.259259259,97,108,0.2239,48.2,49.9,19.5,16.7,26,31.5,27.8,37.6,45.6,51.3,34.9,29.9,64.4,-15,,,,,,,,,,,,,,,,,,
Louisiana Tech,CUSA,2015,NA,NA,35,26,0.742857143,105.7,98.1,0.7016,50.7,46.9,15.6,22.4,29,35.4,33.7,31.3,51.4,45.5,32.9,33.6,67.7,-1.7,,,,,,,,,,,,,,,,,,
