tournament,season
Long Island Brooklyn,Long Island Brooklyn
Jackson St,Jackson St
Illinois Chicago,Illinois Chicago
Northern Arizona,Northern Arizona
San Francisco,San Francisco
Prairie View,Prairie View
Western Michigan,Western Michigan
Detroit,Detroit
Florida A&M,Florida A&M
Arkansas St,Arkansas St
Samford,Samford
Alcorn St,Alcorn St
Southeast Missouri St,Southeast Missouri St
Central Connecticut St,Central Connecticut St
Lamar,Lamar
Hofstra,Hofstra
Appalachian St,Appalachian St
Cal St Northridge,Cal St Northridge
Alabama St,Alabama St
Southern Utah,Southern Utah
Florida Atlantic,Florida Atlantic
IUPUI,IUPUI
Wagner,Wagner
Wisconsin Milwaukee,Wisconsin Milwaukee
Sam Houston St,Sam Houston St
Air Force,Air Force
Southeastern Louisiana,Southeastern Louisiana
Oakland,Oakland
Delaware St,Delaware St
Eastern Kentucky,Eastern Kentucky
Niagara,Niagara
Oral Roberts,Oral Roberts
Texas A&M Corpus Christi,Texas A&M Corpus Christi
North Texas,North Texas
American,American
Portland St,Portland St
Texas Arlington,Texas Arlington
Binghamton,Binghamton
Morgan St,Morgan St
Arkansas Pine Bluff,Arkansas Pine Bluff
Northern Colorado,Northern Colorado
North Carolina Central,North Carolina Central
Cal Poly,Cal Poly
