TEAM,CONF,REGION,SEED,SEED_OPP,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Auburn,SEC,Midwest,5,12,31,25,0.806451613,111.1,96.1,0.8415,50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,69.3,4.6,0.731,0.597,0.433,0.477,0.268,0.448,0.553,0.492,0.925,0.582,0.97,0.239,0.791,0.538,0.059,0.389,0.686,0.791
Penn St.,B10,South,6,11,31,21,0.677419355,111.4,91.9,0.9019,49.5,46.4,15.8,18.6,29.2,27.6,31,31.8,50,45.2,32.5,32.5,70.9,3.4,0.313,0.626,0.866,0.791,0.208,0.657,0.881,0.447,0.373,0.626,0.343,0.374,0.313,0.672,0.238,0.389,0.91,0.701
BYU,WCC,West,6,11,31,24,0.774193548,115.9,96,0.8973,58.1,49,15.5,18.2,20.6,24.1,23.4,27.9,54.8,50.8,41.9,30.3,69.4,2.7,0.597,0.895,0.463,0.761,0.985,0.239,0.911,0.358,0,0.149,0.014,0.687,0.91,0.06,1,0.851,0.746,0.597
Iowa,B10,Midwest,6,11,31,20,0.64516129,117.2,99.7,0.8653,51.6,49.4,17.1,17.6,32,29.5,34.4,26.8,51.3,50.3,34.7,32.1,70.1,3.3,0.208,0.925,0.209,0.582,0.432,0.165,0.717,0.253,0.656,0.865,0.582,0.747,0.462,0.105,0.477,0.508,0.85,0.671
Virginia,ACC,East,6,11,30,23,0.766666667,100,85.6,0.8565,46.9,43.1,20.1,19.3,26.4,23.2,26.6,21.6,47.8,42.5,30.3,29.3,59.4,3.8,0.567,0.029,1,0.537,0.014,1,0.15,0.567,0.179,0.104,0.044,0.971,0.074,0.956,0.014,0.941,0,0.716
Houston,Amer,East,7,10,31,23,0.741935484,112.1,92.2,0.9041,48,43.9,17.8,18.2,38.7,25.3,32.9,41.6,46.6,44.5,33.7,28.6,65.7,2.7,0.522,0.656,0.792,0.835,0.059,0.956,0.612,0.358,0.985,0.238,0.492,0.045,0.014,0.792,0.343,1,0.179,0.597
Arizona,P12,West,7,10,32,21,0.65625,110.9,91.2,0.904,50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,49.6,44.4,35.2,31.2,69.3,0.8,0.238,0.552,0.926,0.82,0.343,0.821,0.777,0.791,0.522,0.373,0.791,0.165,0.238,0.836,0.626,0.687,0.686,0.417
Michigan,B10,South,7,10,31,19,0.612903226,113,93.1,0.9028,52.8,46.9,15.3,16.1,25,25.5,26.7,26.4,54.1,46.3,33.9,32.3,68.6,2.8,0.059,0.746,0.732,0.805,0.746,0.508,0.956,0.044,0.119,0.328,0.059,0.792,0.85,0.493,0.358,0.448,0.611,0.626
Illinois,B10,Midwest,7,10,30,21,0.7,110.9,93.9,0.8719,48.3,47,17.9,16.6,35.6,25.7,32.2,23.9,49.6,45.8,30.3,33,66.3,3,0.417,0.552,0.642,0.611,0.089,0.478,0.553,0.074,0.94,0.358,0.432,0.896,0.238,0.598,0.014,0.239,0.313,0.656
Providence,BE,East,8,9,31,19,0.612903226,109.3,91.8,0.8812,47.3,47.4,19.3,21.4,33.7,28.4,35.9,37.4,45.9,47.9,33.2,31.1,68.6,0.3,0.059,0.477,0.881,0.656,0.029,0.418,0.209,0.85,0.82,0.731,0.716,0.075,0,0.299,0.313,0.717,0.611,0.373
Florida,SEC,West,8,9,31,19,0.612903226,112.6,95.9,0.864,52.1,47.9,17.8,19.2,31.1,27.4,34,33.7,52.2,47.4,34.7,32.6,64.9,0.2,0.059,0.686,0.478,0.567,0.611,0.329,0.612,0.552,0.567,0.582,0.552,0.284,0.552,0.389,0.477,0.329,0.119,0.343
